"시스템","DNS 이름","사용자","호스트","에이전트 버전","데이터스토어","상태"
"pkorvd041","pkorvd041.ad.here.com","ad.here.com\phadke","pkor01esx115.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd074","pkorvd074.ad.here.com","ad.here.com\mbjha","pkor01esx117.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd007","pkorvd007.ad.here.com","ad.here.com\dtripath","pkor01esx116.core.in.here.com","7.3.1","[kor-pure01-ds32]","사용 가능"
"pkorvd151","pkorvd151.ad.here.com","ad.here.com\bmhatre","pkor01esx116.core.in.here.com","7.3.1","[kor-pure01-ds24]","사용 가능"
"pkorvd003","pkorvd003.ad.here.com","ad.here.com\sgawade","pkor01esx116.core.in.here.com","7.3.1","[kor-pure01-ds32]","사용 가능"
"pkorvd145","pkorvd145.ad.here.com","ad.here.com\saurane","pkor01esx113.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd012","pkorvd012.ad.here.com","ad.here.com\yoraut","pkor01esx114.core.in.here.com","7.1.0","[kor-pure01-ds32]","사용 가능"
"pkorvd062","pkorvd062.ad.here.com","ad.here.com\umhatre","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd104","pkorvd104.ad.here.com","ad.here.com\mkingsle","pkor01esx110.core.in.here.com","7.3.1","[kor-pure01-ds24]","사용 가능"
"pkorvd029","pkorvd029.ad.here.com","ad.here.com\ankmehta","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd137","pkorvd137.ad.here.com","ad.here.com\sequeira","pkor01esx115.core.in.here.com","7.3.1","[kor-pure01-ds24]","사용 가능"
"pkorvd008","pkorvd008.ad.here.com","ad.here.com\danani","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds32]","사용 가능"
"pkorvd130","pkorvd130.ad.here.com","ad.here.com\rukkhan","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd076","pkorvd076.ad.here.com","ad.here.com\archumy","pkor01esx114.core.in.here.com","7.3.1","[kor-pure01-ds24]","사용 가능"
"pkorvd023","pkorvd023.ad.here.com","ad.here.com\ltripath","pkor01esx116.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd098","pkorvd098.ad.here.com","ad.here.com\vijadhav","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd033","pkorvd033.ad.here.com","ad.here.com\udasare","pkor01esx117.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd100","pkorvd100.ad.here.com","ad.here.com\ypanda","pkor01esx111.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd126","pkorvd126.ad.here.com","ad.here.com\anmahale","pkor01esx114.core.in.here.com","7.3.1","[kor-pure01-ds66]","연결됨"
"pkorvd054","pkorvd054.ad.here.com","ad.here.com\athapa","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd119","pkorvd119.ad.here.com","ad.here.com\vsetti","pkor01esx111.core.in.here.com","7.3.1","[kor-pure01-ds24]","사용 가능"
"pkorvd051","pkorvd051.ad.here.com","ad.here.com\dsankpal","pkor01esx110.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd069","pkorvd069.ad.here.com","ad.here.com\dpoojari","pkor01esx114.core.in.here.com","7.3.1","[kor-pure01-ds31]","연결됨"
"pkorvd064","pkorvd064.ad.here.com","ad.here.com\chimane","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd142","pkorvd142.ad.here.com","ad.here.com\bharambe","pkor01esx115.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd102","pkorvd102.ad.here.com","ad.here.com\msurti","pkor01esx116.core.in.here.com","7.3.1","[kor-pure01-ds24]","사용 가능"
"pkorvd060","pkorvd060.ad.here.com","ad.here.com\sanyadav","pkor01esx112.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd123","pkorvd123.ad.here.com","ad.here.com\bhimani","pkor01esx113.core.in.here.com","7.3.1","[kor-pure01-ds24]","사용 가능"
"pkorvd120","pkorvd120.ad.here.com","ad.here.com\walanj","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd068","pkorvd068.ad.here.com","ad.here.com\singhal","pkor01esx115.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd131","pkorvd131.ad.here.com","ad.here.com\mapara","pkor01esx115.core.in.here.com","7.3.1","[kor-pure01-ds24]","사용 가능"
"pkorvd125","pkorvd125.ad.here.com","ad.here.com\sanshett","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd085","pkorvd085.ad.here.com","ad.here.com\lpaul","pkor01esx116.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd090","pkorvd090.ad.here.com","ad.here.com\abobade","pkor01esx114.core.in.here.com","7.3.1","[kor-pure01-ds24]","사용 가능"
"pkorvd043","pkorvd043.ad.here.com","ad.here.com\kbisonops","pkor01esx116.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd032","pkorvd032.ad.here.com","ad.here.com\bulchand","pkor01esx110.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd025","pkorvd025.ad.here.com","ad.here.com\shmishra","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds31]","사용 가능"
"pkorvd042","pkorvd042.ad.here.com","ad.here.com\sarkale","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds66]","사용 가능"
"pkorvd143","pkorvd143.ad.here.com","ad.here.com\edutt","pkor01esx118.core.in.here.com","7.3.1","[kor-pure01-ds24]","연결됨"
"pkorvd005","pkorvd005.ad.here.com","ad.here.com\amsurve","pkor01esx116.core.in.here.com","7.3.1","[kor-pure01-ds32]","사용 가능"
